Mine ID,Operator,Mine Name,Type,Status,State,County,Primary Canvass Code,Commodity
1515585,Red Flame Coal Company Inc,No 2 Mine,Surface,Abandoned,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515586,Sexton Contracting,No 1 Site,Surface,Abandoned,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515587,W & P Coal Company Inc,Mine No 2,Underground,AbandonedSealed,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515588,Norcoal Kentucky Inc,No 3,Surface,Abandoned,Kentucky,Magoffin,Coal (Bituminous and Lignite),Coal (Bituminous)
1515589,Penny Branch Coal Company Inc,No 1,Underground,Abandoned,Kentucky,Harlan,Coal (Bituminous and Lignite),Coal (Bituminous)
1515590,Mouthcard Development Company Inc,3,Underground,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515591,Mountain Coal Company,No 2,Underground,AbandonedSealed,Kentucky,Bell,Coal (Bituminous and Lignite),Coal (Bituminous)
1515592,Alpha Mining Company,Mine No 1,Underground,AbandonedSealed,Kentucky,Bell,Coal (Bituminous and Lignite),Coal (Bituminous)
1515593,Becky Coal Corp,Mine No 3,Underground,AbandonedSealed,Kentucky,Bell,Coal (Bituminous and Lignite),Coal (Bituminous)
1515594,Daniel Lee Coal Company Inc,Mine No 1,Underground,AbandonedSealed,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515595,L R B Contracting Inc,Auger No 1,Surface,AbandonedSealed,Kentucky,Harlan,Coal (Bituminous and Lignite),Coal (Bituminous)
1515596,Lemarco Inc,Lemarco #1,Underground,AbandonedSealed,Kentucky,Harlan,Coal (Bituminous and Lignite),Coal (Bituminous)
1515597,Crossroads Mining Inc,No1,Surface,Abandoned,Kentucky,Owsley,Coal (Bituminous and Lignite),Coal (Bituminous)
1515598,J & C Enterprises Inc,No 2 Surface,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515599,Mullins & Sons Coal Company Inc,No 10,Underground,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515600,Kam Construction Company,No 2 Surface,Surface,Abandoned,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515601,Mulberry Creek Coal Company Inc,No 2,Underground,AbandonedSealed,Kentucky,Whitley,Coal (Bituminous and Lignite),Coal (Bituminous)
1515602,Winn Construction Company Inc,Pleasant Ridge Mine,Surface,Abandoned,Kentucky,Ohio,Coal (Bituminous and Lignite),Coal (Bituminous)
1515603,Andalex Resources Inc,Lakeview Mine,Surface,Abandoned,Kentucky,Hopkins,Coal (Bituminous and Lignite),Coal (Bituminous)
1515604,Black Jack Coal Company,No 6 Mine,Underground,AbandonedSealed,Kentucky,Knox,Coal (Bituminous and Lignite),Coal (Bituminous)
1515605,South-East Coal Company Inc,Mine #400,Underground,AbandonedSealed,Kentucky,Knott,Coal (Bituminous and Lignite),Coal (Bituminous)
1515606,D & B Coal Company Inc,N A S No 1,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515607,Revelation Corp Inc,No 1,Underground,AbandonedSealed,Kentucky,Lawrence,Coal (Bituminous and Lignite),Coal (Bituminous)
1515608,Kannan Mining Company Inc,No 1 Mine,Underground,AbandonedSealed,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515609,Appalachian Mining & Reclamation LLC,Red Bud Dock No. 1,Facility,Abandoned,Kentucky,Boyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1515610,Mc Coy Elkhorn Coal Corp,No 10-S,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515611,Triple F Processing Corp,Plant #1,Facility,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515612,Ro-Ann Mining Inc,#2,Underground,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515613,Chloe Ridge Coal Company Inc,Money Branch 103,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515614,Harlan-Darby Coal Company Inc,No 2,Underground,AbandonedSealed,Kentucky,Harlan,Coal (Bituminous and Lignite),Coal (Bituminous)
1515615,Daniels Augering,No 2 Auger,Surface,Abandoned,Kentucky,Johnson,Coal (Bituminous and Lignite),Coal (Bituminous)
1515616,Ron Cat Mining Inc,Mine #1,Surface,Abandoned,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515617,Sarah Coal Company Inc,No 1 Surface,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515618,Tara John Coal Corp Inc,No 1,Underground,AbandonedSealed,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515619,P B Dirt Movers Inc,No 5 Surface,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515620,Kenlick & Tip Top Coal Company Inc,No 1 Surface,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515621,T & G Construction,Auger,Surface,AbandonedSealed,Kentucky,Harlan,Coal (Bituminous and Lignite),Coal (Bituminous)
1515622,R M & S Coal Inc,Surface #4,Surface,Abandoned,Kentucky,Mccreary,Coal (Bituminous and Lignite),Coal (Bituminous)
1515623,Martin County Coal Corp,Black Diamond,Underground,AbandonedSealed,Kentucky,Martin,Coal (Bituminous and Lignite),Coal (Bituminous)
1515624,Wormey Coal Company,No 3,Underground,AbandonedSealed,Kentucky,Knox,Coal (Bituminous and Lignite),Coal (Bituminous)
1515625,Jamieson Construction Company Inc,No1,Surface,Abandoned,Kentucky,Owsley,Coal (Bituminous and Lignite),Coal (Bituminous)
1515626,C & O Construction,No 1 Surface,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515627,Carnell W Vance Jr,No 1 Surface,Surface,Abandoned,Kentucky,Boyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1515628,Justin Corp,#1 Surface,Surface,Abandoned,Kentucky,Clay,Coal (Bituminous and Lignite),Coal (Bituminous)
1515629,Red Bird Mining,No1,Surface,Abandoned,Kentucky,Clay,Coal (Bituminous and Lignite),Coal (Bituminous)
1515630,Murco Coal Company,No 1,Surface,Abandoned,Kentucky,Bell,Coal (Bituminous and Lignite),Coal (Bituminous)
1515631,Bmc Inc,No 1a,Underground,AbandonedSealed,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1515632,Husky Mining Company Inc,No 1,Underground,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515633,Rainbow Coal Company Of Va,Rainbow No 1,Underground,AbandonedSealed,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515634,First Class Coal Company Inc,No 1,Underground,AbandonedSealed,Kentucky,Letcher,Coal (Bituminous and Lignite),Coal (Bituminous)
1515635,Loveday Coal Company Inc,No 4,Underground,AbandonedSealed,Kentucky,Harlan,Coal (Bituminous and Lignite),Coal (Bituminous)
1515636,Topper Coal Company Inc,No 2,Underground,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515637,Broken Hill Mining Company Inc,No 1,Underground,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515638,Conico Resources Inc,No 1 Surface,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515639,Conn & Hayes Mining Company,Mine No 11,Surface,Abandoned,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1515640,Bevins & Bolden Coal Company Inc,No 1,Underground,AbandonedSealed,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515641,Double Q Coal Company,No 1 Mine,Underground,AbandonedSealed,Kentucky,Knox,Coal (Bituminous and Lignite),Coal (Bituminous)
1515642,D & D Company,No1,Surface,Abandoned,Kentucky,Knott,Coal (Bituminous and Lignite),Coal (Bituminous)
1515643,Bailey Mining Company,No 22,Underground,AbandonedSealed,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1515644,Thirel Daniels Company,No 1 Surface,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515645,H & G Construction Company Inc,H & G Construction Mine Hc6,Surface,Abandoned,Kentucky,Hopkins,Coal (Bituminous and Lignite),Coal (Bituminous)
1515646,Centerline Land Company Inc,No 1 Mine,Surface,Abandoned,Kentucky,Hopkins,Coal (Bituminous and Lignite),Coal (Bituminous)
1515647,Goldens Creek Enterprises Inc,Goldens Creek Ent #1,Surface,AbandonedSealed,Kentucky,Whitley,Coal (Bituminous and Lignite),Coal (Bituminous)
1515648,Clark Elkhorn Coal Company,Cedar Creek No 5 Surface,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515649,S & B Construction Company Inc,No One Mine,Surface,Abandoned,Kentucky,Knott,Coal (Bituminous and Lignite),Coal (Bituminous)
1515650,J & J Construction,No 1 Surface,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515651,R V Mining Company Inc,No 3 Surface,Surface,Abandoned,Kentucky,Pike,Coal (Bituminous and Lignite),Coal (Bituminous)
1515652,R & C Processing Company Inc,Surface No 2,Surface,Abandoned,Kentucky,Floyd,Coal (Bituminous and Lignite),Coal (Bituminous)
1515653,"Eagle Coal Company, Inc.",No. 21,Underground,AbandonedSealed,Kentucky,Martin,Coal (Bituminous and Lignite),Coal (Bituminous)
